gauge_id,gauge_name,huc_02,frac_snow,pet_mean,aridity,elev_mean,gauge_lat,gauge_lon,area_gages2,split
11264500,MERCED R A HAPPY ISLES BRIDGE NR YOSEMITE CA,18,0.90632692590849,3.04781229295003,1.15430436685117,2632.87,37.73159,-119.55877,467.98,heldout
11230500,BEAR C NR LAKE THOMAS A EDISON CA,18,0.902963679881608,3.15791082819986,1.56458712833615,3020.86,37.33939,-118.97345,135.53,heldout
11266500,MERCED R A POHONO BRIDGE NR YOSEMITE CA,18,0.885217452223562,3.08489671457906,1.12767758222952,2512.58,37.71687,-119.66628,833.08,train
12447390,"ANDREWS CREEK NEAR MAZAMA, WA",17,0.777311497508566,2.18839374401095,0.855149970177677,1700.98,48.82292,-120.14592,58.1,heldout
06623800,"ENCAMPMENT RIVER AB HOG PARK CR, NR ENCAMPMENT, WY",10,0.753935609059572,3.04618217659138,1.06195280275687,2970.51,41.02358,-106.82477,187.66,train
10316500,"LAMOILLE C NR LAMOILLE, NV",16,0.750536240978589,3.42265185489391,1.5472994743415,2490.13,40.69076,-115.477,64.78,train
11237500,PITMAN C BL TAMARACK C CA,18,0.749856960685691,2.94218308008214,1.00467109371786,2201.22,37.19856,-119.21373,59.82,train
13313000,JOHNSON CREEK AT YELLOW PINE ID,17,0.744536050209931,2.86112984257358,0.788086019761959,2155.6,44.96167,-115.5,561.94,heldout
06632400,"ROCK CREEK AB KING CANYON CANAL, NR ARLINGTON, WY",10,0.744511869620645,3.27538655715264,1.45805954432552,3001.56,41.58525,-106.22279,162.99,train
06278300,"SHELL CREEK ABOVE SHELL CREEK RESERVOIR, WY",10,0.732862235334757,2.55176291581109,1.31947750026898,2953.37,44.50802,-107.40369,58.85,train
13240000,LAKE FORK PAYETTE RIVER AB JUMBO CR NR MCCALL ID,17,0.726533471798391,2.4386097467488,0.748671386862602,1965.35,44.91361,-115.99722,125.57,heldout
12377150,Mission Cr ab Reservoir nr ST Ignatius MT,17,0.719886653780668,2.47127117043121,0.6113163325292,1512.07,47.32299,-113.97955,32.18,train
06622700,"NORTH BRUSH CREEK NEAR SARATOGA, WY",10,0.717691988588396,3.33129381245722,1.47588506035729,2837.34,41.37024,-106.52058,98.7,heldout
12451000,"STEHEKIN RIVER AT STEHEKIN, WA",17,0.716767081202258,2.13660028747433,0.477409714857793,1509.63,48.32958,-120.69177,830.6,train
09065500,"GORE CREEK AT UPPER STATION, NEAR MINTURN, CO.",14,0.715530725661926,3.71937794661191,1.44701296024584,3350.1,39.62582,-106.27808,37.78,train
10343500,SAGEHEN C NR TRUCKEE CA,16,0.714981248450698,2.82593815195072,1.10048955004278,2156.91,39.43157,-120.23798,27.6,train
06221400,"DINWOODY CREEK ABOVE LAKES, NEAR BURRIS, WYO.",10,0.714826752405444,3.00475832991102,1.93775283537396,3336.8,43.34551,-109.41014,227.88,train
07083000,"HALFMOON CREEK NEAR MALTA, CO.",11,0.710599947836907,2.84301753593429,1.36440276871712,3457.46,39.17221,-106.38919,60.76,train
13011900,BUFFALO FORK AB LAVA CREEK NR MORAN WY,17,0.704607069419076,2.72093414099932,1.14165396721462,2683.38,43.83806,-110.44111,851.8,train
09035800,"DARLING CREEK NEAR LEAL, CO.",14,0.703715181667891,3.81722892539357,1.55425496823473,3271.22,39.80054,-106.02641,22.94,heldout
09223000,"HAMS FORK BELOW POLE CREEK, NEAR FRONTIER, WY",14,0.698323179997837,2.73531000684463,1.57738701536144,2448.68,42.11049,-110.70962,333.15,train
06224000,"BULL LAKE CREEK ABOVE BULL LAKE, WY",10,0.693901350936104,2.58516339493498,1.7478701746332,3116.82,43.1769,-109.20291,484.86,train
12175500,"THUNDER CREEK NEAR NEWHALEM, WA",17,0.690360443229126,2.18863189596167,0.400719733521145,1538.75,48.67263,-121.0729,273.82,train
09035900,"SOUTH FORK OF WILLIAMS FORK NEAR LEAL, CO.",14,0.689823885415144,3.43485352498289,1.43870994561462,3240.75,39.79582,-106.03057,72.84,heldout
09066000,"BLACK GORE CREEK NEAR MINTURN, CO.",14,0.682272756610747,3.47225801505818,1.53003691051899,3405.13,39.59638,-106.26503,32.41,train
13235000,SF PAYETTE RIVER AT LOWMAN ID,17,0.677895075896552,2.6835810403833,1.04542058272682,2075.34,44.08528,-115.62222,1163.23,train
09107000,"TAYLOR RIVER AT TAYLOR PARK, CO.",14,0.672583021372504,3.22740075290897,1.68527917783876,3300.29,38.86027,-106.5667,331.62,train
10336660,BLACKWOOD C NR TAHOE CITY CA,16,0.668727842270536,2.85939039014374,0.766349594900847,2113.28,39.10741,-120.16214,29.8,train
06280300,"SOUTH FORK SHOSHONE RIVER NEAR VALLEY, WY",10,0.666773488915146,2.54396625598905,1.30316178661964,3003.52,44.20828,-109.55489,793.95,train
09081600,"CRYSTAL RIVER AB AVALANCHE C, NEAR REDSTONE, CO.",14,0.66474212387336,4.02481441478439,1.50276206476727,2990.97,39.23221,-107.22727,432.89,train
13310700,SF SALMON RIVER NR KRASSEL RANGER STATION ID,17,0.659423756726634,2.74545106091718,0.900950971658628,1979.98,44.98694,-115.725,853.13,heldout
13011500,PACIFIC CREEK AT MORAN WY,17,0.658713268212353,2.69914156057495,1.10894054860902,2400.71,43.85028,-110.51778,404.08,train
13018300,"CACHE CREEK NEAR JACKSON, WY",17,0.65711853695655,3.33278308008214,1.49519893728156,2197.93,43.45215,-110.70409,27.9,train
10244950,"STEPTOE C NR ELY, NV",16,0.656356436998628,3.44596276522929,2.60998508002766,2404.47,39.20154,-114.68916,28.2,train
09210500,"FONTENELLE C NR HERSCHLER RANCH, NR FONTENELLE, WY",14,0.65472507476901,2.62968280629706,1.90175464874652,2441.13,42.09605,-110.41656,398.31,train
06037500,Madison River near West Yellowstone MT,10,0.648344907835478,2.60378079397673,1.08228197592541,2412.29,44.65687,-111.06827,1126.25,train
13023000,GREYS RIVER AB RESERVOIR NR ALPINE WY,17,0.646858624758436,3.07762091718001,1.30549121079233,2441.62,43.14278,-110.97667,1161.93,heldout
12488500,"AMERICAN RIVER NEAR NILE, WA",17,0.641918995401996,2.18724750171116,0.460863112965068,1452.54,46.97762,-121.1687,205.17,train
10173450,"MAMMOTH CREEK ABV WEST HATCH DITCH, NEAR HATCH, UT",16,0.638428591804715,3.06809033538672,1.82671311612364,2638.59,37.62276,-112.51688,268.53,train
09352900,"VALLECITO CREEK NEAR BAYFIELD, CO.",14,0.633893898746821,3.13433968514716,1.24164677274948,3282.66,37.4775,-107.54367,188.15,train
10234500,"BEAVER RIVER NEAR BEAVER, UT",16,0.632069679226265,3.67239080082136,2.06412510868143,2498.74,38.28053,-112.56827,236.42,train
06191500,Yellowstone River at Corwin Springs MT,10,0.629262259561398,3.33267828884326,1.54014916761825,2547.95,45.11188,-110.79438,6783.59,train
09047700,"KEYSTONE GULCH NEAR DILLON, CO.",14,0.626945100722261,3.90928855578371,1.924953095141,3333.84,39.59443,-105.97252,23.57,train
06188000,"LAMAR RIVER NR TOWER FALLS RANGER STATION, YNP",10,0.621106810157812,2.53167455167693,1.12381778407054,2569.59,44.92772,-110.39381,1730.28,train
09312600,"WHITE RIVER BL TABBYUNE C NEAR SOLDIER SUMMIT, UT",14,0.604725963590861,3.75503396303901,2.37045884744146,2434.67,39.87579,-111.03739,195.29,train
